video_id,publishing_date,view_count,title_on_youtube
v73uMp1fPjM,2016-10-14T17:16:52Z,8378,11. Trabecular Bone and Osteoporosis
yDr8Df35C64,2016-10-14T17:16:50Z,3077,"12. Trabecular Bone, Osteoporosis, and Evolution"
Txidu-5VYfU,2016-10-14T17:16:51Z,48889,13. Tissue Engineering Scaffolds: Processing and Properties
UgKnOuaY1G8,2016-10-14T17:16:54Z,7902,14. Tissue Engineering: Osteochondral Scaffold; How To Write a Paper
vVfI1wTp0Jg,2016-10-14T17:16:52Z,5423,15. Cell-scaffold Interactions; Energy Absorption
yK5SA6HngCY,2016-10-14T17:16:50Z,7094,16. Applications: Energy Absorption in Foams
4zpQwirFsbk,2016-10-14T17:16:52Z,30687,17. Sandwich Panels
LzA1OqHY68M,2016-10-14T17:16:50Z,3505,18. Natural Sandwich Structures; Density Gradients
kpbG3L5awgk,2016-10-14T17:16:50Z,3437,19. Biomimicking
Sf4VkBA-LZc,2016-05-02T17:41:02Z,1092,How I became a Professor.
Ao41FrJFgvQ,2020-12-07T20:54:55Z,136305,1. Introduction (Intro to Solid-State Chemistry)
HaL1Q8f7M_o,2020-12-07T20:27:05Z,43208,2. The Periodic Table (Intro to Solid-State Chemistry)
e_WABkM-Kxo,2020-12-07T20:48:52Z,27665,3. Atomic Models (Intro to Solid-State Chemistry)
Ji20_qhjk2Y,2020-12-07T20:26:05Z,22765,4. Atomic Spectra (Intro to Solid-State Chemistry)
rkFY8WB8tfs,2020-12-07T20:26:05Z,16393,5. Shell Models and Quantum Numbers (Intro to Solid-State Chemistry)
4Dr3Q-ezMZk,2020-12-07T20:48:52Z,21153,"6. Electron Shell Model, Quantum Numbers, and PES (Intro to Solid-State Chemistry)"
bhPMi2IvZXs,2020-12-07T20:26:05Z,14810,7. Aufbau Principle and Atomic Orbitals (Intro to Solid-State Chemistry)
LV3l9yqJwio,2020-12-07T20:53:08Z,13105,8. Ionization Energy and Potential Energy Surface (PES) (Intro to Solid-State Chemistry)
DvGNpuan4rw,2020-12-07T20:26:05Z,9300,9. Lewis Structures I (Intro to Solid-State Chemistry)
aCJECIYz8gM,2020-12-07T20:27:05Z,6800,10. Lewis Structures II (Intro to Solid-State Chemistry)
g9v8zj6VObw,2020-12-07T20:27:05Z,8577,11. Shapes of Molecules and VSEPR (Intro to Solid-State Chemistry)
L0b9wq0js4I,2020-12-07T20:26:05Z,14245,12. Molecular Orbitals (Intro to Solid-State Chemistry)
UzDqh-1Koyc,2020-12-07T20:27:26Z,9223,13. Hybridization (Intro to Solid-State Chemistry)
OMFpHmfC1pY,2020-12-07T20:44:43Z,9199,14. Intermolecular Forces (Intro to Solid-State Chemistry)
P34zaLtmsn0,2020-12-07T20:52:33Z,10319,Additional Lecture 1. Phases (Intro to Solid-State Chemistry 2019)
CxAkraYlBuE,2020-12-07T20:26:05Z,17486,15. Semiconductors (Intro to Solid-State Chemistry)
Ep7mkm_T0Po,2020-12-07T20:27:05Z,9013,16. Doping (Intro to Solid-State Chemistry)
Yap0AKRczf0,2020-12-07T20:27:26Z,9434,17. Metals (Intro to Solid-State Chemistry)
R0sw85RkKCY,2020-12-07T20:26:51Z,48359,18. Introduction to Crystallography (Intro to Solid-State Chemistry)
g4lxRZ7T5_o,2020-12-07T20:26:51Z,16503,19. Crystallographic Notation (Intro to Solid-State Chemistry)
